TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-30,2026-06-30,CM,NSE,STK,17029,INE619A01035,PATANJALI,EQ,,,,,PATANJALI FOODS LIMITED,413.0,413.4,406.35,411.05,409.0,412.6,,411.05,,,2820164,1157339170.8,63451,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,694,INE059A01026,CIPLA,EQ,,,,,CIPLA LTD,1455.7,1480.8,1448.7,1465.4,1468.0,1454.1,,1465.4,,,2818077,4132146002.0,92848,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,1838,INE036D01028,KARURVYSYA,EQ,,,,,KARUR VYSYA BANK LTD,299.8,300.8,294.2,296.1,295.5,298.85,,296.1,,,2814293,835986235.85,76849,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,2606,INE970X01018,LEMONTREE,EQ,,,,,LEMON TREE HOTELS LTD,116.22,117.19,115.2,116.65,117.0,116.22,,116.65,,,2802847,325914601.72,30510,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,759265,INE976I01016,TATACAP,EQ,,,,,TATA CAPITAL LIMITED,372.75,372.75,356.85,365.9,365.0,369.1,,365.9,,,2791900,1014847816.55,43801,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,757102,INE894V01022,BELRISE,EQ,,,,,BELRISE INDUSTRIES LTD,241.48,245.89,237.01,238.57,238.68,240.46,,238.49,,,2779028,663783553.56,31721,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,399,INE470Y01017,NIACL,EQ,,,,,THE NEW INDIA ASSU CO LTD,181.97,182.7,177.01,178.01,177.2,181.39,,178.0,,,2759629,492506760.43,24026,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11522,INE161A01038,NIITLTD,EQ,,,,,NIIT LIMITED,96.9,103.72,96.76,100.62,100.35,96.21,,100.62,,,2756754,279515105.27,21919,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,913,INE063P01018,EQUITASBNK,EQ,,,,,EQUITAS SMALL FIN BNK LTD,74.99,75.99,73.85,75.41,75.9,74.6,,75.42,,,2756353,207462171.98,20185,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,759342,INE0S3G01027,PACEDIGITK,EQ,,,,,PACE DIGITEK LIMITED,203.73,207.74,200.93,202.81,204.15,200.89,,202.82,,,2741586,559193275.15,21466,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,13285,INE774D01024,M&MFIN,EQ,,,,,M&M FIN. SERVICES LTD,317.7,321.65,311.0,315.8,317.0,315.4,,315.8,,,2719651,860507514.6,44244,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,14707,INE508G01029,TIMETECHNO,EQ,,,,,TIME TECHNOPLAST LTD.,180.47,182.12,179.05,179.96,179.47,179.56,,179.94,,,2694250,486975846.88,12992,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,19061,INE522D01027,MANAPPURAM,EQ,,,,,MANAPPURAM FINANCE LTD,315.0,327.2,313.0,324.2,323.35,315.45,,324.15,,,2694177,863791176.35,33347,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,20296,INE482J01021,SHAH,EQ,,,,,SHAH METACORP LIMITED,4.11,4.24,4.09,4.13,4.13,4.05,,4.13,,,2683033,11137691.81,1926,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,6994,INE836A01035,BSOFT,EQ,,,,,BIRLASOFT LIMITED,299.35,299.85,285.0,286.3,286.6,299.1,,286.3,,,2680611,769683440.3,46341,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11992,INE312C01025,SYNCOMF,EQ,,,,,SYNCOM FORMU (I) LTD,13.9,14.5,13.9,14.26,14.37,13.92,,14.26,,,2680114,38149049.29,3919,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3563,INE364U01010,ADANIGREEN,EQ,,,,,ADANI GREEN ENERGY LTD,1504.0,1508.5,1484.0,1492.2,1492.0,1502.5,,1492.2,,,2679140,4003295651.2,53223,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,25835,INE498Q01014,VINCOFE,EQ,,,,,VINTAGE COFFEE N BVRGS L,149.77,156.0,143.55,154.85,155.99,149.98,,154.85,,,2664670,400773680.76,17432,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,2283,INE103A01014,MRPL,EQ,,,,,MRPL,149.98,151.49,148.01,149.05,149.14,149.19,,149.05,,,2651769,396117815.73,24361,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,10297,INE050001010,PPL,EQ,,,,,PRAKASH PIPES LIMITED,310.92,334.4,310.0,323.58,327.5,305.67,,323.56,,,2647640,861969108.86,43476,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,759728,INE1C6T01020,EMMVEE,EQ,,,,,EMMVEE PHOTOVOLTAIC PWR L,333.0,344.5,330.85,343.0,344.5,332.35,,343.0,,,2586303,878642460.15,38060,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,10579,INE750C01026,MARKSANS,EQ,,,,,MARKSANS PHARMA LIMITED,264.7,277.0,264.0,272.81,276.0,263.4,,272.77,,,2578664,694471344.49,32115,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,1997,INE115A01026,LICHSGFIN,EQ,,,,,LIC HOUSING FINANCE LTD,564.0,566.0,552.7,564.0,565.9,560.75,,564.0,,,2564040,1440345170.85,39488,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,8585,INE589A01014,NLCINDIA,EQ,,,,,NLC INDIA LIMITED,327.7,327.7,319.2,322.0,321.3,327.75,,322.0,,,2563969,826349191.15,41288,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,928,INE086A01029,ELECTCAST,EQ,,,,,ELECTROSTEEL CASTINGS LTD,77.0,82.96,76.2,79.68,78.9,76.7,,79.81,,,2563291,201337046.16,18026,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,758460,INE718I01012,JSWCEMENT,EQ,,,,,JSW CEMENT LIMITED,133.0,135.5,132.57,134.92,135.2,132.78,,134.92,,,2558890,343466054.41,21189,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,8736,INE859A01011,PNBGILTS,EQ,,,,,PNB GILTS LIMITED,90.99,96.65,89.7,92.27,91.5,90.36,,92.27,,,2558842,237777667.04,16214,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,28859,INE195N01013,PROZONER,EQ,,,,,PROZONE REALTY LIMITED,45.18,47.95,42.01,44.88,45.51,44.86,,44.92,,,2556203,114032333.09,3925,F1,1,,,,,
