Date,Symbol,Company,Open,High,Low,Close,PrevClose,Volume,TradedValue,Trades
19-06-2026,KALYANKJIL,KALYAN JEWELLERS IND LTD,380.55,386.5,375.25,383.5,382.95,4107954,1566669543,40653
19-06-2026,JSWINFRA,JSW INFRASTRUCTURE LTD,307.95,312.85,306.15,308.15,307.95,4072021,1257938063,49123
19-06-2026,DEVYANI,DEVYANI INTERNATIONAL LTD,116,117.64,114.1,116.91,115.28,4058264,471644866.1,28483
19-06-2026,ICICIAMC,ICICI PRUDENTIAL AMC LTD,3430,3568,3332,3429,3431.7,4005867,13683498858,105299
19-06-2026,IREDA,INDIAN RENEWABLE ENERGY,127.5,128.19,126.33,127.15,127.96,3976588,505370248.6,24998
19-06-2026,ATALREAL,ATAL REALTECH LIMITED,30.37,30.91,30.14,30.72,30.19,3921194,119745529,3924
19-06-2026,GROWWPOWER,GROWWAMC - GROWWPOWER,12.3,12.5,12.22,12.46,12.37,3847464,47901666.29,4119
19-06-2026,CGPOWER,CG POWER AND IND SOL LTD,954.1,966.05,950.05,963.7,954.45,3828968,3681756510,52475
19-06-2026,SBFC,SBFC FINANCE LIMITED,91.5,97.45,91.5,95.4,91.95,3794321,359477485,26654
19-06-2026,METAL,MIRAEAMC - METAL,13.44,13.44,13,13.14,13.12,3791102,49618457.78,5904
19-06-2026,AQYLON,AQYLON NEXUS LIMITED,48.87,49.9,45.64,48.52,48.04,3757071,179740771.8,10150
19-06-2026,REFEX,REFEX INDUSTRIES LIMITED,315,342,315,336.9,318.65,3756870,1260943904,49407
19-06-2026,BELRISE,BELRISE INDUSTRIES LTD,239.99,245.3,239.1,241.09,239.24,3749142,907150794.8,42659
19-06-2026,ICICIPRULI,ICICI PRU LIFE INS CO LTD,518,522.55,498.35,500.3,522.1,3733720,1882103377,56848
19-06-2026,SALASAR,SALASAR TECHNO ENGG. LTD.,7.07,7.15,7.01,7.07,7.09,3700116,26192339.57,3252
19-06-2026,RAIN,RAIN INDUSTRIES LIMITED,189.15,195.9,187.36,191,189.15,3687315,705605791.8,27193
