Date,Symbol,Company,Open,High,Low,Close,PrevClose,DailyReturnPct,DailyRange,RangePct,GapPct,Volume,TradedValue,Trades
2026-06-05 00:00:00,QPOWER,QPOWER,1016.00,1072.00,1005.00,1072.00,1021.00,5.00,67.00,6.59,-0.49,236459,2442.39,6075
2026-06-05 00:00:00,MONIFTY500,MONIFTY500,23.18,23.18,22.90,22.97,22.99,-0.09,0.28,1.21,0.83,235845,54.28,1483
2026-06-05 00:00:00,SMALL250,SMALL250,17.20,17.30,17.02,17.06,17.09,-0.18,0.28,1.63,0.64,235556,40.36,837
2026-06-05 00:00:00,JTEKTINDIA,JTEKTINDIA,124.78,125.10,122.32,122.54,123.61,-0.87,2.78,2.23,0.95,234803,289.42,3426
2026-06-05 00:00:00,TORNTPOWER,TORNTPOWER,1455.00,1474.00,1447.20,1460.10,1440.00,1.40,26.80,1.84,1.04,233670,3414.81,25644
2026-06-05 00:00:00,ASTERDM,ASTERDM,738.90,756.00,738.90,754.00,738.05,2.16,17.10,2.31,0.12,233590,1752.48,11586
2026-06-05 00:00:00,SIKKO,SIKKO,4.23,4.23,4.07,4.11,4.05,1.48,0.16,3.78,4.44,231950,9.56,485
2026-06-05 00:00:00,VASCONEQ,VASCONEQ,32.60,32.60,31.86,32.03,32.22,-0.59,0.74,2.27,1.18,231442,74.21,1023
2026-06-05 00:00:00,TRU,TRU,5.50,5.50,5.25,5.32,5.50,-3.27,0.25,4.55,0.00,230800,12.33,400
2026-06-05 00:00:00,PRINCEPIPE,PRINCEPIPE,272.95,274.60,268.15,271.15,272.95,-0.66,6.45,2.36,0.00,230779,625.39,5660
2026-06-05 00:00:00,SUPRAJIT,SUPRAJIT,473.35,481.00,465.05,475.75,470.70,1.07,15.95,3.37,0.56,230617,1096.35,10263
2026-06-05 00:00:00,SULA,SULA,157.49,157.50,155.06,155.93,155.46,0.30,2.44,1.55,1.31,230169,358.88,4049
2026-06-05 00:00:00,SPMLINFRA,SPMLINFRA,201.90,202.90,196.00,197.00,200.38,-1.69,6.90,3.42,0.76,229440,455.73,3308
2026-06-05 00:00:00,VSTIND,VSTIND,257.00,260.00,255.40,258.05,255.40,1.04,4.60,1.79,0.63,229053,591.84,2720
2026-06-05 00:00:00,PROTEAN,PROTEAN,629.00,634.15,614.00,616.60,627.00,-1.66,20.15,3.20,0.32,228519,1422.32,8585
2026-06-05 00:00:00,LALPATHLAB,LALPATHLAB,1561.10,1584.80,1528.00,1536.90,1561.20,-1.56,56.80,3.64,-0.01,228362,3521.87,27502
2026-06-05 00:00:00,GOLDADD,GOLDADD,150.41,150.41,149.33,150.16,150.93,-0.51,1.08,0.72,-0.34,228298,342.36,1576
2026-06-05 00:00:00,IONEXCHANG,IONEXCHANG,353.05,359.50,346.50,350.65,348.75,0.54,13.00,3.68,1.23,228175,799.75,12488
2026-06-05 00:00:00,PRSMJOHNSN,PRSMJOHNSN,119.13,121.00,118.41,119.31,118.54,0.65,2.59,2.17,0.50,228091,272.15,8664
2026-06-05 00:00:00,SOUTHWEST,SOUTHWEST,268.20,272.00,260.50,262.75,264.25,-0.57,11.50,4.29,1.49,227707,604.51,4207
2026-06-05 00:00:00,SEIL,SEIL,181.00,185.95,181.00,184.48,182.26,1.22,4.95,2.73,-0.69,227656,420.02,5561
2026-06-05 00:00:00,SBIBPB,SBIBPB,47.72,48.68,47.30,48.01,47.72,0.61,1.38,2.89,0.00,227495,109.92,677
2026-06-05 00:00:00,SHAILY,SHAILY,3117.10,3149.90,3018.50,3062.90,3067.40,-0.15,131.40,4.22,1.62,227359,7011.16,22100
2026-06-05 00:00:00,HDFCPVTBAN,HDFCPVTBAN,26.97,27.09,26.33,26.67,26.88,-0.78,0.76,2.82,0.33,226397,60.44,462
2026-06-05 00:00:00,NH,NH,1934.30,1979.00,1934.30,1969.20,1949.20,1.03,44.70,2.31,-0.76,224931,4425.28,24215
2026-06-05 00:00:00,MODISONLTD,MODISONLTD,361.60,362.70,350.00,362.70,345.45,4.99,12.70,3.51,4.68,224859,812.90,1361
2026-06-05 00:00:00,QLINE,QLINE,470.00,494.85,465.55,494.85,471.30,5.00,29.30,6.23,-0.28,224800,1097.65,329
2026-06-05 00:00:00,GANESHHOU,GANESHHOU,765.95,799.00,757.00,780.75,758.20,2.97,42.00,5.48,1.02,223512,1742.94,10017
2026-06-05 00:00:00,SANDHAR,SANDHAR,719.85,723.00,700.00,703.10,711.75,-1.22,23.00,3.20,1.14,222897,1579.96,8814
2026-06-05 00:00:00,SIGNATURE,SIGNATURE,813.80,825.00,806.60,812.55,812.25,0.04,18.40,2.26,0.19,222765,1814.48,4027
2026-06-05 00:00:00,IZMO,IZMO,918.90,923.35,861.00,917.40,879.40,4.32,62.35,6.79,4.49,222248,1994.43,8410
2026-06-05 00:00:00,IDEAFORGE,IDEAFORGE,945.00,945.00,945.00,945.00,900.00,5.00,0.00,0.00,5.00,221612,2094.23,3404
2026-06-05 00:00:00,DSSL,DSSL,1357.90,1373.60,1288.70,1288.70,1356.50,-5.00,84.90,6.25,0.10,221261,2913.09,12974
2026-06-05 00:00:00,AFCONS,AFCONS,326.05,327.25,316.90,319.60,326.30,-2.05,10.35,3.17,-0.08,219931,706.05,6386
2026-06-05 00:00:00,VPRPL,VPRPL,30.90,30.90,30.90,30.90,32.52,-4.98,0.00,0.00,-4.98,218781,67.60,1343
2026-06-05 00:00:00,PRECAM,PRECAM,150.70,152.38,146.60,147.05,149.36,-1.55,5.78,3.84,0.90,218688,325.15,2736
2026-06-05 00:00:00,VISHWARAJ,VISHWARAJ,5.80,5.87,5.22,5.67,5.78,-1.90,0.65,11.21,0.35,218572,12.31,540
2026-06-05 00:00:00,ANTELOPUS,ANTELOPUS,925.00,925.00,876.00,899.35,915.35,-1.75,49.00,5.30,1.05,218479,1966.66,9180
2026-06-05 00:00:00,MARKOLINES,MARKOLINES,167.10,167.80,163.25,163.90,165.45,-0.94,4.55,2.72,1.00,218063,360.43,1856
2026-06-05 00:00:00,OSWALGREEN,OSWALGREEN,23.61,24.10,23.28,23.49,23.68,-0.80,0.82,3.47,-0.30,217841,51.32,970
2026-06-05 00:00:00,RGL,RGL,102.01,103.29,100.99,101.44,102.31,-0.85,2.30,2.25,-0.29,217704,221.80,1340
2026-06-05 00:00:00,ANURAS,ANURAS,1355.00,1368.70,1315.30,1328.20,1348.20,-1.48,53.40,3.94,0.50,217175,2892.47,8957
2026-06-05 00:00:00,GLOBE,GLOBE,2.32,2.32,2.21,2.28,2.30,-0.87,0.11,4.74,0.87,217001,4.92,274
2026-06-05 00:00:00,VGL,VGL,66.40,70.00,65.90,69.22,66.07,4.77,4.10,6.17,0.50,216914,149.71,635
2026-06-05 00:00:00,APCOTEXIND,APCOTEXIND,545.00,552.50,530.70,540.20,538.35,0.34,21.80,4.00,1.24,215905,1168.12,7657
2026-06-05 00:00:00,HMAAGRO,HMAAGRO,23.00,23.90,23.00,23.59,23.06,2.30,0.90,3.91,-0.26,215812,50.66,861
2026-06-05 00:00:00,AUTOIETF,AUTOIETF,26.98,27.36,26.85,27.12,26.98,0.52,0.51,1.89,0.00,215746,58.37,1386
2026-06-05 00:00:00,NIFTYETF,NIFTYETF,254.37,254.50,252.18,253.23,253.61,-0.15,2.32,0.91,0.30,215523,545.95,1139
2026-06-05 00:00:00,NUVOCO,NUVOCO,322.45,325.95,317.05,319.15,322.45,-1.02,8.90,2.76,0.00,214690,688.78,8308
2026-06-05 00:00:00,KERNEX,KERNEX,1890.10,1909.90,1805.00,1836.10,1890.10,-2.86,104.90,5.55,0.00,214449,3967.60,14621
2026-06-05 00:00:00,SIMCA,SIMCA,139.75,141.75,134.20,135.90,140.55,-3.31,7.55,5.40,-0.57,213000,291.36,112
2026-06-05 00:00:00,SUTLEJTEX,SUTLEJTEX,34.65,39.37,34.65,38.91,35.51,9.57,4.72,13.62,-2.42,212855,81.38,1673
2026-06-05 00:00:00,HEXT,HEXT,536.25,539.85,524.65,526.00,528.65,-0.50,15.20,2.83,1.44,212752,1128.36,9420
2026-06-05 00:00:00,ARSSBL,ARSSBL,531.95,534.40,518.55,524.75,527.05,-0.44,15.85,2.98,0.93,212385,1119.08,6609
2026-06-05 00:00:00,QGOLDHALF,QGOLDHALF,126.00,128.84,126.00,127.95,128.84,-0.69,2.84,2.25,-2.20,212288,271.59,734
2026-06-05 00:00:00,RADHIKAJWE,RADHIKAJWE,57.75,58.19,56.20,56.53,57.61,-1.87,1.99,3.45,0.24,210782,120.20,1459
2026-06-05 00:00:00,EVINDIA,EVINDIA,30.69,30.98,30.64,30.77,30.69,0.26,0.34,1.11,0.00,210639,64.86,1409
2026-06-05 00:00:00,LUMAXTECH,LUMAXTECH,1711.10,1711.10,1638.10,1664.40,1691.90,-1.63,73.00,4.27,1.13,209930,3484.96,22285
2026-06-05 00:00:00,NXST,NXST,155.33,155.84,154.43,155.37,154.63,0.48,1.41,0.91,0.45,209495,325.18,7338
2026-06-05 00:00:00,TRACXN,TRACXN,30.60,32.70,30.60,31.78,30.93,2.75,2.10,6.86,-1.07,209167,66.80,1465
2026-06-05 00:00:00,SATIA,SATIA,55.11,56.80,53.84,54.07,55.38,-2.37,2.96,5.37,-0.49,209118,114.89,2145
2026-06-05 00:00:00,TATAINVEST,TATAINVEST,667.20,677.90,665.20,669.70,666.65,0.46,12.70,1.90,0.08,208835,1402.82,10381
2026-06-05 00:00:00,HERITGFOOD,HERITGFOOD,324.85,327.50,319.20,320.15,322.85,-0.84,8.30,2.56,0.62,208654,670.38,5099
2026-06-05 00:00:00,CONCORDBIO,CONCORDBIO,1238.20,1244.80,1196.00,1209.90,1238.20,-2.29,48.80,3.94,0.00,207762,2531.50,15104
2026-06-05 00:00:00,EMBASSY,EMBASSY,429.60,432.74,427.00,428.20,428.48,-0.07,5.74,1.34,0.26,207621,891.68,7472
2026-06-05 00:00:00,AXISNIFTY,AXISNIFTY,262.30,262.30,256.46,257.82,258.51,-0.27,5.84,2.23,1.47,207439,535.68,240
2026-06-05 00:00:00,AIAENG,AIAENG,4690.00,4775.00,4602.50,4630.70,4596.50,0.74,172.50,3.68,2.03,206638,9680.88,43681
2026-06-05 00:00:00,BIKAJI,BIKAJI,645.05,658.85,645.05,654.95,645.60,1.45,13.80,2.14,-0.09,206341,1350.02,4719
2026-06-05 00:00:00,GROWWDEFNC,GROWWDEFNC,91.56,91.57,90.21,90.96,90.84,0.13,1.36,1.49,0.79,206134,187.49,2815
2026-06-05 00:00:00,PRIMESECU,PRIMESECU,278.65,304.55,278.65,300.90,281.55,6.87,25.90,9.29,-1.03,205529,592.01,1359
2026-06-05 00:00:00,IRMENERGY,IRMENERGY,263.10,264.40,258.60,261.30,260.95,0.13,5.80,2.20,0.82,205306,537.50,3077
2026-06-05 00:00:00,TECHLABS,TECHLABS,169.00,170.30,156.65,166.45,164.85,0.97,13.65,8.08,2.52,204875,334.10,402
2026-06-05 00:00:00,KEI,KEI,5336.00,5398.00,5287.00,5335.50,5296.00,0.75,111.00,2.08,0.76,203971,10906.82,23046
2026-06-05 00:00:00,THERMAX,THERMAX,4931.20,4960.00,4786.60,4832.10,4875.90,-0.90,173.40,3.52,1.13,203060,9882.88,32102
2026-06-05 00:00:00,ENIFTY,ENIFTY,22.80,23.53,22.80,23.42,23.39,0.13,0.73,3.20,-2.52,202704,47.36,55
2026-06-05 00:00:00,SHARDACROP,SHARDACROP,907.30,911.40,888.65,892.70,904.75,-1.33,22.75,2.51,0.28,201194,1800.82,10215
2026-06-05 00:00:00,DIVISLAB,DIVISLAB,6636.50,6636.50,6567.00,6623.00,6596.50,0.40,69.50,1.05,0.61,200964,13276.32,25191
2026-06-05 00:00:00,TAKE,TAKE,29.85,30.00,28.81,29.57,29.67,-0.34,1.19,3.99,0.61,200837,59.48,9445
2026-06-05 00:00:00,UNIPARTS,UNIPARTS,622.05,643.60,622.05,633.95,625.20,1.40,21.55,3.46,-0.50,200734,1279.99,6602
2026-06-05 00:00:00,PVRINOX,PVRINOX,976.35,999.50,969.95,973.25,976.35,-0.32,29.55,3.03,0.00,199664,1964.35,16034
2026-06-05 00:00:00,TALBROAUTO,TALBROAUTO,352.50,356.75,343.00,350.75,354.30,-1.00,13.75,3.90,-0.51,199616,695.54,4448
2026-06-05 00:00:00,LANDMARK,LANDMARK,414.55,422.00,407.80,418.25,412.90,1.30,14.20,3.43,0.40,199473,829.52,7237
2026-06-05 00:00:00,ALPL30IETF,ALPL30IETF,26.23,26.44,26.17,26.19,26.23,-0.15,0.27,1.03,0.00,199467,52.38,821
2026-06-05 00:00:00,CASHIETF,CASHIETF,1065.34,1065.36,1065.34,1065.35,1064.91,0.04,0.02,0.00,0.04,199168,2121.85,3827
2026-06-05 00:00:00,OFSS,OFSS,10175.00,10198.00,9908.50,9936.50,10098.00,-1.60,289.50,2.85,0.76,197221,19786.34,30282
2026-06-05 00:00:00,NECLIFE,NECLIFE,11.98,12.15,11.86,11.98,11.98,0.00,0.29,2.42,0.00,196866,23.60,336
2026-06-05 00:00:00,AVL,AVL,536.75,562.40,535.00,551.20,536.75,2.69,27.40,5.10,0.00,196519,1089.47,11085
